"Date","Time","screen_name","text","hashtags"
"2016-07-15 ","17:32:59","clairecmc","Precious children at summer lunch program at Emerson Family YMCA. https://t.co/9L8AIu5fRW",
"2016-07-15 ","15:48:53","clairecmc","On my way to meet with North County business leaders and city managers.",
"2016-07-05 ","14:06:44","clairecmc","https://t.co/wzVIDESsNQ https://t.co/5k8uRuaxWz",
"2016-02-18 ","15:23:55","clairecmc","Today introducing bill w/@JeffFlake removing ability of Congress  to avoid jury duty. Everyone has duty to serve. No special rules for us.",
"2015-11-25 ","14:48:15","clairecmc","Sunset this past weekend,Lake of the Ozarks.Quiet time,now ready for loving chaos of family for Thanksgiving in STL https://t.co/r1rdz6D7ci",
"2015-10-29 ","14:14:02","clairecmc","Made my day. The Notorius RBG is so on fleek. #cantspelltruthwithoutruth https://t.co/ClxJCA7zd9","cantspelltruthwithoutruth"
"2015-10-29 ","11:39:43","clairecmc",".Thank you !  https://t.co/dwpVMzuwi5",
"2015-10-29 ","03:10:44","clairecmc","I don't care who your team is, gotta agree that was some damn fine pitching. #CuetoCompleteGame
#TakeTheCrown","CuetoCompleteGame TakeTheCrown"
"2015-07-14 ","21:08:55","clairecmc","Sorry I'm a little late. @facebook Q&amp;A beginning now re Older Americans Act. #OAA50 https://t.co/qzhXoLnR8i","OAA50"
"2015-07-14 ","11:16:59","clairecmc","Check out my special guest in DC this week. My youngest grandchild Thomas. #bestwayto starttheday https://t.co/z6H1lcucNw","bestwayto"
"2015-06-09 ","16:35:26","clairecmc","Sad irony that our hearing on airport security in Homeland Security committee was interrupted by security threat.",
"2014-05-21 ","03:34:45","clairecmc","Just happens to be the best press team in the world. And Happy Birthday Andy!  http://t.co/Y6YLiJVP8p",
"2013-07-24 ","23:30:40","clairecmc","Proud of UCM, Whiteman, my seat back to DC. https://t.co/n3L64LTOxG",
"2013-07-24 ","20:43:43","clairecmc","Now on to Warrensburg! https://t.co/5fddLUTd54",
"2013-07-24 ","20:16:07","clairecmc","Seriously? In her 60's? I've been 60 for 10 minutes! “@eyokley:  @ClaireCMc, who -- even in her 60's -- is making us all ""try to keep up.""",
"2013-07-24 ","17:39:30","clairecmc","On my way to Missouri, laughing with my friend. I'm blessed, not a bad birthday. http://t.co/b2hbQP9A2m",
"2013-07-24 ","00:43:40","clairecmc","Thank you Governor!“@MattBlunt: Happy Birthday, Claire!  RT @clairecmc: Tomorrow I'm 60. Don't know whether to laugh or cry.I choose laugh.”",
"2013-04-19 ","19:16:00","clairecmc","Kansas City day.I love this place.Meetings, speeches,round table with women small business owners.Swearing in of new US atty. Busy.",
"2013-03-11 ","21:35:17","clairecmc","I have pat downs constantly,I have a metal knee.There aren't/ shouldn't be special rules for Congress.I should be treated like anyone else.",
"2013-03-11 ","18:47:58","clairecmc","They said maybe hand lotion?!? 😖😖“@carlabond:  What in the world had you been handling that would create a positive result?”",
"2013-03-11 ","18:20:59","clairecmc","I do it twice a week. ""@nickhibbeler: @clairecmc Please remember that citizens go through this every day just to be able to travel freely.”",
"2013-03-11 ","18:17:06","clairecmc","Today in my airport screening, test on my hands was positive. Got private, more aggressive pat down. OMG. #veryuncomfortable","veryuncomfortable"
"2013-03-11 ","18:10:37","clairecmc","On my way to the Pentagon for another meeting on sexual assault in the military. Prepping for Wed hearing. #InvisibleWar","InvisibleWar"
"2012-09-25 ","03:36:11","clairecmc","Today in St Louis Newt said Todd reminded him of Harry Truman!?! I believe Harry would have a few choice words for Newt Gingrich.",
"2012-08-03 ","23:11:14","clairecmc","Good day in Kansas City.Just boarded Southwest for flight to St Louis. I'm moved by so many people approaching me with support.👍",
"2012-07-18 ","17:49:29","clairecmc","Just met with Missouri corn growers,agreed that we need to get Farm Bill done.Proud of my record supporting this impt part of Mo economy.",
"2012-03-31 ","20:25:00","clairecmc","Driving the highways of Mo this weekend. Gosh darnit our dog flower trees are so beautiful,they grow wild and they are incredible this year.",
"2012-03-31 ","14:00:57","clairecmc","Frank Haith Named USBWA National Coach of the Year    Talk about deserving!!#mizzou http://t.co/DhZAEUrh","mizzou"
"2011-10-10 ","19:01:14","clairecmc","Way cool to meet Aggie Wolf.   http://t.co/3OqlgnPI",
"2011-01-15 ","20:34:03","clairecmc","@raygaitherjr Yes indeed, that was me at  StL RV show.On double date w/Joe and sis and brothrnlaw. Dinner first at Crown Candy Kitchen.Fun.",
"2011-01-11 ","13:16:12","clairecmc","Finally. We must have better oversight of contracting in Afghnstn. http://bit.ly/f4vrU7",
"2011-01-08 ","19:16:29","clairecmc","I feel sick to my stomach. Praying.",
